"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0162162660621526,-0.0146959874179209,0.263245926283235,0.550476904766934,0.576295637709261,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163945437101547,-0.0163802697745373,0.0200288764898206,0.127374102356172,0.173287126597307,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163893057186008,-0.0163481109375078,0.0942975478998616,0.393124549608281,0.460616329728953,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",-0.0158274185109364,-0.0131096681962899,0.413719596095364,0.736582300244147,0.762396705740381,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0163937877835282,-0.0163807561928,0.022734978343326,0.145192635961677,0.186479100614222,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816425446899384,-0.0081423138693288,0.255227979360519,0.550942803678596,0.577708091420043,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484603069072,-0.00816484515223216,0.0110468105895564,0.094470526148193,0.131188170847029,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484590183111,-0.00816483937205118,0.0858687615939563,0.383588468135286,0.463088712651581,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",-0.00816300626076672,-0.00805195233112781,0.409187922075204,0.730623287556908,0.760746259248163,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484601218153,-0.00816484406118194,0.0137820304012292,0.112078732822592,0.158135275836161,"Later Intervention"
