"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0163952905743367,-0.0163880298192034,0.00187625535223304,0.0650362851412735,0.0904588362205597,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163951058179172,-0.0163848953093879,0.0118048894856092,0.101276109823088,0.135484748043039,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163800803928554,-0.0162142336500693,0.135086953696055,0.352986968788456,0.378998537034321,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",0.590332609434213,0.609904217614439,0.709954129539884,0.779607718098666,0.788124682844133,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0161423565391435,-0.0149366244925149,0.211475687460572,0.430713294889133,0.462440437669481,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484602042101,-0.00816484467074039,0.0026150252827286,0.0491289933062704,0.0773004086914382,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484601306657,-0.00816484335654508,0.012514090725457,0.094038275100225,0.131928584203487,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816480983459781,-0.00816366914421809,0.135740447446062,0.352341516423273,0.378916860002186,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",0.587023319299165,0.607384523340114,0.710136261883798,0.779040034621692,0.787508103577725,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816338881161431,-0.00809668482921065,0.211826088227888,0.432749615388881,0.464030092237583,"Later Intervention"
