"","region","country","IFR"
"1","Auvergne-Rhône-Alpes","France",0.012556187488595
"2","Bourgogne-Franche-Comté","France",0.012556187488595
"3","Bretagne","France",0.012556187488595
"4","Centre-Val de Loire","France",0.012556187488595
"5","Corse","France",0.012556187488595
"6","Grand Est","France",0.012556187488595
"7","Hauts-de-France","France",0.012556187488595
"8","Normandie","France",0.012556187488595
"9","Nouvelle-Aquitaine","France",0.012556187488595
"10","Occitanie","France",0.012556187488595
"11","Pays de la Loire","France",0.012556187488595
"12","Provence-Alpes-Côte d'Azur","France",0.012556187488595
"13","Île-de-France","France",0.012556187488595
"14","France-hopitaux","France",0.012556187488595
"15","France-OC19","France",0.012556187488595
"16","France-EHPAD","France",0.012556187488595
"17","Denmark","Denmark",0.0102074697882139
"18","Italy","Italy",0.0124496263593357
"19","Germany","Germany",0.0123324426034139
"20","Spain","Spain",0.0107838730158524
"21","United_Kingdom","United_Kingdom",0.0103504384028517
"22","France","France",0.012556187488595
"23","Norway","Norway",0.00914956406203488
"24","Belgium","Belgium",0.0109598776668092
"25","Austria","Austria",0.0103882259256609
"26","Sweden","Sweden",0.0103110432111081
"27","Switzerland","Switzerland",0.0102134528252841
"28","Greece","Greece",0.0117992290838236
"29","Portugal","Portugal",0.0117258680881815
"30","Netherlands","Netherlands",0.010289760240957
