"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.016129063909707,-0.0125283712777041,0.347189304506677,0.57460390076956,0.597014617559412,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163952369470838,-0.0163888910268685,0.0103200407913889,0.0974493468642876,0.133703018323401,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163909639702408,-0.0163476840703705,0.0968620391636463,0.426497855602693,0.491013055995857,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",-0.0163610753819328,-0.0161168294410761,0.262074949176765,0.651176055261053,0.69174457407748,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0163951573555272,-0.0163851549362554,0.0136802329689787,0.112775926230055,0.154017702942599,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.0081634843362749,-0.00809356902084791,0.343004380701123,0.575385289926174,0.597278583006589,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484601101427,-0.00816484453063068,0.00529929193678686,0.0639646999586003,0.100083527928518,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484562789854,-0.00816482577308758,0.0923575330834882,0.424045699287377,0.487364314297067,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",-0.00816479782925841,-0.00816347073248176,0.258682210397008,0.647227657268038,0.684408824064628,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484604673914,-0.00816484541994268,0.00871572983713085,0.0848389304159444,0.120717310093392,"Later Intervention"
