"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-0.243137126812764,-0.0883967033788454,0.422718097953082,0.749647105447597,0.776909190880044,"pooled"
"2","global: transit",0.95,0.9,"mean",0.672202236493943,0.70175393567535,0.815351535987711,0.896387649857378,0.90567736102129,"pooled"
"3","global: averageMobility",0.95,0.9,"mean",0.298976461177102,0.386684930901121,0.629103881842708,0.810120189847201,0.8356473820705,"pooled"
"4","Auvergne-Rhône-Alpes: residential",0.95,0.9,"mean",-1.08252767347933,-0.776338240593211,-0.0819611447336133,0.412183415988252,0.486679782672386,"partial"
"5","Auvergne-Rhône-Alpes: transit",0.95,0.9,"mean",-0.829770926646388,-0.641967771520597,-0.071516012532199,0.353498256073589,0.424299261921772,"partial"
"6","Auvergne-Rhône-Alpes: averageMobility",0.95,0.9,"mean",-0.942811561602287,-0.726542553333709,-0.0737445804737622,0.398626659674932,0.471674205874938,"partial"
"7","Bourgogne-Franche-Comté: residential",0.95,0.9,"mean",-1.13167608507239,-0.827983163994104,-0.0633867749758198,0.44967882393438,0.5254506074657,"partial"
"8","Bourgogne-Franche-Comté: transit",0.95,0.9,"mean",-0.878644923556897,-0.723246080682195,-0.0643699936658694,0.389119700795073,0.457442988091873,"partial"
"9","Bourgogne-Franche-Comté: averageMobility",0.95,0.9,"mean",-0.957743651664337,-0.718553104908469,-0.0770678685791325,0.392473143950388,0.465162546674623,"partial"
"10","Bretagne: residential",0.95,0.9,"mean",-1.31147449926593,-0.947840686347961,-0.133988159362173,0.391353422844011,0.464282513098497,"partial"
"11","Bretagne: transit",0.95,0.9,"mean",-1.57058266535773,-1.24952042673878,-0.290647245852743,0.273849134203145,0.352212179363703,"partial"
"12","Bretagne: averageMobility",0.95,0.9,"mean",-1.52349108594392,-1.19038276687436,-0.282090832338818,0.280871017893221,0.366591908145331,"partial"
"13","Centre-Val de Loire: residential",0.95,0.9,"mean",-1.12974894810137,-0.785332181550348,-0.0696444894265728,0.427124422247252,0.507225185749543,"partial"
"14","Centre-Val de Loire: transit",0.95,0.9,"mean",-0.962841018779254,-0.73802166462904,-0.0779887228848402,0.371296377577441,0.447596164377812,"partial"
"15","Centre-Val de Loire: averageMobility",0.95,0.9,"mean",-1.02844076100455,-0.749354617561412,-0.0783174374955833,0.421202596210032,0.504447943261162,"partial"
"16","Corse: residential",0.95,0.9,"mean",-1.14376559109835,-0.771542725588791,-0.0575010941157694,0.456721187619911,0.533822610768794,"partial"
"17","Corse: transit",0.95,0.9,"mean",-1.01192021390837,-0.772935727565824,-0.0336192838126397,0.469425884707113,0.546548122932168,"partial"
