"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0154482164712136,-0.00968497088716009,0.30613538454425,0.516847433899059,0.53880186844945,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163954321041115,-0.0163879282755058,0.0210347827802588,0.135927766790847,0.181232252157555,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163931899986823,-0.0163546509384142,0.0951984432655616,0.403357789089844,0.444219587478786,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",-0.0163894229306808,-0.0163509624076501,0.12061609265435,0.504549987005376,0.580719877769098,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.016395454558606,-0.0163829426914489,0.0252729470240159,0.160932737223507,0.207147827953658,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00815794131173895,-0.00782074895282786,0.295962073130351,0.515931921035643,0.540469651987919,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484602175086,-0.00816484347033949,0.00929999356155792,0.0860492933319061,0.122478701199689,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.0081648459635608,-0.00816483902624361,0.0845679543048492,0.387818829776432,0.436694609828824,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",-0.00816484577921739,-0.00816483255019962,0.110237109482289,0.495429417469831,0.573407032225946,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484599281038,-0.00816484314754765,0.0135831756001841,0.114122232674866,0.160325641229578,"Later Intervention"
