"","region","country","IFR"
"1","Auvergne-Rhône-Alpes","France",0.012556187488595
"2","Bourgogne-Franche-Comté","France",0.012556187488595
"3","Bretagne","France",0.012556187488595
"4","Corse","France",0.012556187488595
"5","Grand Est","France",0.012556187488595
"6","Hauts-de-France","France",0.012556187488595
"7","Normandie","France",0.012556187488595
"8","Nouvelle-Aquitaine","France",0.012556187488595
"9","Occitanie","France",0.012556187488595
"10","Pays de la Loire","France",0.012556187488595
"11","Provence-Alpes-Côte d'Azur","France",0.012556187488595
"12","Île-de-France","France",0.012556187488595
"13","France-hopitaux","France",0.012556187488595
"14","France-OC19","France",0.012556187488595
"15","Denmark","Denmark",0.0102074697882139
"16","Italy","Italy",0.0124496263593357
"17","Germany","Germany",0.0123324426034139
"18","Spain","Spain",0.0107838730158524
"19","United_Kingdom","United_Kingdom",0.0103504384028517
"20","France","France",0.012556187488595
"21","Belgium","Belgium",0.0109598776668092
"22","Austria","Austria",0.0103882259256609
"23","Sweden","Sweden",0.0103110432111081
"24","Switzerland","Switzerland",0.0102134528252841
"25","Greece","Greece",0.0117992290838236
"26","Portugal","Portugal",0.0117258680881815
"27","Netherlands","Netherlands",0.010289760240957
