"","Denmark","Italy","Germany","Spain","United_Kingdom","France","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1",3.27966980316392,3.29959244938698,3.32304911213434,3.30430024452261,3.27814136435673,3.28836523705942,3.30687022967677,3.29937164301653,3.32798071463231,3.3311243447862,3.23822819236876,3.3108382134183,3.26083174712646
"2",3.1141990645585,3.29161972428517,3.23284623168165,3.66794969210144,3.15079105252784,3.27984251213532,3.49870156530936,3.40113583576367,3.29998749983862,3.181673699657,3.4053770860378,2.90555178833638,3.19520337397674
"3",3.54520541678355,3.66497349904073,3.10852257281289,4.21581595416786,3.35979782468905,4.05223574427862,3.85768117051149,3.58003494134474,2.23346860347381,3.79233915327356,2.78377227785173,3.97276979752359,3.18643746805656
"4",3.4711930880866,3.55886577610633,3.28368085896004,3.36416729091293,3.13835410787017,3.14297431551079,2.95898671943165,3.14695842968785,3.22500000447938,3.62264688490812,3.20974801160274,3.34506001948168,3.19716422877988
"5",3.30010784941501,3.27234479863684,3.27066508873106,3.27619937733656,3.30195056878283,3.25328096611043,3.27153209828656,3.26559196415953,3.27975790632058,3.2458946630992,3.34822841113158,3.31784127853414,3.3285234810483
"6",3.37948853257555,3.49627581150425,3.19564496152443,3.18134951064376,3.41217292091677,3.39855038849547,3.58717297609934,3.38193576666219,3.13495868699179,2.95919971732223,3.32383350049222,3.29971983136795,3.38415669540704
"7",3.22731893656228,3.17134486072824,3.24961102420931,3.45254497071416,3.28186563727699,3.40974651842243,3.12698938113258,3.16757816177825,3.37480730080629,3.49010306031474,3.54408375302969,2.8963149353633,3.40675967176502
"8",2.3485226445017,3.86361160874977,4.14430015009223,3.54154172663587,3.43217399899191,3.61286167585314,3.49159404209667,3.09077059746379,3.26455284304228,3.17347094847426,3.51218795394921,3.19884306502908,3.56645085899633
"9",3.64294070729619,3.09283913580601,3.44731791044997,3.55435156582393,3.40422910661812,3.38447087288695,3.38669440945691,2.80407713214956,3.05651467843681,3.24202470416879,2.9508472855962,3.29274716960395,3.91129339759509
"10",2.93256625819955,3.32019507292325,2.61155192968988,3.7086544531733,3.3132612338052,4.08853911179236,3.60508740064468,2.38629518572516,4.40275840890181,3.77275576849655,2.98436113875481,3.26630825126161,4.27172498251516
