"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-1.33415855382374,-1.04611776675389,-0.0423774826830619,0.583582226227648,0.636111497100024,"pooled"
"2","global: transit",0.95,0.9,"mean",-0.850972589610079,-0.614765668980433,0.148053145890384,0.641816672694006,0.690386313081291,"pooled"
"3","global: averageMobility",0.95,0.9,"mean",-0.947175841018136,-0.641031636539289,0.13874840758298,0.650477275666022,0.694623850679973,"pooled"
"4","Denmark: residential",0.95,0.9,"mean",-2.80092142726293,-1.70200901414903,-0.39012301715129,0.609818874845566,0.690575904998152,"partial"
"5","Denmark: transit",0.95,0.9,"mean",-2.52980134417492,-1.75950907345063,-0.273993973865607,0.582268174886597,0.66739918305124,"partial"
"6","Denmark: averageMobility",0.95,0.9,"mean",-3.25026682462121,-1.91986991775052,-0.26189607902639,0.569216870476963,0.706673006893474,"partial"
"7","Italy: residential",0.95,0.9,"mean",-1.90035530832612,-1.23436123117044,-0.0945024771054953,0.664133348078808,0.736509284986604,"partial"
"8","Italy: transit",0.95,0.9,"mean",-0.714138062750116,-0.410652708083961,0.164438416147435,0.770056836008084,0.834333234937243,"partial"
"9","Italy: averageMobility",0.95,0.9,"mean",-1.31874074870712,-0.726657917849244,0.0559049588249206,0.747267740444232,0.857517065433241,"partial"
"10","Germany: residential",0.95,0.9,"mean",-3.27540543290506,-1.64952312469606,-0.29179565845717,0.592236937700907,0.701636855184863,"partial"
"11","Germany: transit",0.95,0.9,"mean",-3.18744839942375,-1.96145284875586,-0.284009924266297,0.548241907727751,0.65117187568205,"partial"
"12","Germany: averageMobility",0.95,0.9,"mean",-2.71896839626273,-1.59482121248816,-0.22132636684221,0.663670852565615,0.747837338994994,"partial"
"13","Spain: residential",0.95,0.9,"mean",-2.69926238870087,-1.46233303997019,-0.195457141325172,0.635130720724231,0.719251806708912,"partial"
"14","Spain: transit",0.95,0.9,"mean",-2.36365393913345,-1.50283437130503,-0.173718908500753,0.620691371075234,0.711217522984529,"partial"
"15","Spain: averageMobility",0.95,0.9,"mean",-2.03118706601842,-1.35001505163944,-0.117000931929697,0.686754679262702,0.789752187144248,"partial"
"16","United_Kingdom: residential",0.95,0.9,"mean",-3.10318048109106,-1.68530398199811,-0.249993309270808,0.632241885844288,0.74756290733068,"partial"
"17","United_Kingdom: transit",0.95,0.9,"mean",-2.82170723509258,-1.6413339726187,-0.252870148806396,0.609701597243001,0.710277071204409,"partial"
"18","United_Kingdom: averageMobility",0.95,0.9,"mean",-2.78773509832896,-1.8280781903654,-0.268523567458427,0.612898180142799,0.733093794060484,"partial"
"19","France: residential",0.95,0.9,"mean",-3.06153343689325,-1.68996043704936,-0.256608145963635,0.622970527263007,0.720664394628261,"partial"
"20","France: transit",0.95,0.9,"mean",-3.04472896274038,-1.8436124574524,-0.252644000848416,0.613222472561742,0.723164365599595,"partial"
"21","France: averageMobility",0.95,0.9,"mean",-3.16048957049951,-1.65454145978328,-0.266370842844459,0.591596137023446,0.721550289872747,"partial"
"22","Belgium: residential",0.95,0.9,"mean",-2.42635829316956,-1.54308346166384,-0.211954078939532,0.592685955364254,0.716366738784757,"partial"
"23","Belgium: transit",0.95,0.9,"mean",-2.5459129305713,-1.52598701982546,-0.187902487842686,0.623228781612526,0.724578505395019,"partial"
"24","Belgium: averageMobility",0.95,0.9,"mean",-2.54248321649409,-1.56183689778021,-0.204879242602117,0.614715520760783,0.710156542253717,"partial"
"25","Austria: residential",0.95,0.9,"mean",-2.49980456353099,-1.49147444630566,-0.165949509733825,0.637408303424247,0.736391729292425,"partial"
"26","Austria: transit",0.95,0.9,"mean",-3.1164873570189,-1.71578048630676,-0.294283861626083,0.582950225816377,0.726890048022258,"partial"
"27","Austria: averageMobility",0.95,0.9,"mean",-2.47136949020173,-1.57532654038472,-0.205375494980247,0.650852369406936,0.719842651050579,"partial"
"28","Sweden: residential",0.95,0.9,"mean",-2.19171517111793,-1.42430993513362,-0.165137956068097,0.620296129085556,0.724423337563881,"partial"
"29","Sweden: transit",0.95,0.9,"mean",-2.72113939781076,-1.43161429664719,-0.19889419404088,0.654435797111598,0.779137692513576,"partial"
"30","Sweden: averageMobility",0.95,0.9,"mean",-2.74964485747148,-1.66311573643643,-0.239937505397765,0.602081884066615,0.707839056618233,"partial"
"31","Switzerland: residential",0.95,0.9,"mean",-2.19592634476182,-1.43297488018425,-0.168108100880485,0.626667236616837,0.742414488048525,"partial"
"32","Switzerland: transit",0.95,0.9,"mean",-2.80105574083172,-1.66189186531027,-0.206449564180419,0.637772217508385,0.739102808652411,"partial"
"33","Switzerland: averageMobility",0.95,0.9,"mean",-2.79169459011102,-1.72023557517796,-0.205136110701265,0.621397594404124,0.72577969480619,"partial"
"34","Greece: residential",0.95,0.9,"mean",-2.75826430096078,-1.64948880402336,-0.214318107575943,0.618395797338964,0.733258667411529,"partial"
"35","Greece: transit",0.95,0.9,"mean",-2.49910337918345,-1.52468888815517,-0.198775926359165,0.647719578133821,0.739710939421059,"partial"
"36","Greece: averageMobility",0.95,0.9,"mean",-2.92281698809123,-1.70956392033362,-0.221594262264133,0.634366209410827,0.740255844953168,"partial"
"37","Portugal: residential",0.95,0.9,"mean",-2.87942956943019,-1.77173673534884,-0.267832459330838,0.63004216056364,0.742501716308719,"partial"
"38","Portugal: transit",0.95,0.9,"mean",-2.28277261309228,-1.55951937430252,-0.177998434701393,0.627771548835879,0.720850479317716,"partial"
"39","Portugal: averageMobility",0.95,0.9,"mean",-3.0145720863812,-1.70779046557661,-0.278656935891912,0.615780426152722,0.722205995281135,"partial"
"40","Netherlands: residential",0.95,0.9,"mean",-2.59329353951423,-1.61320147895653,-0.233267394410325,0.581641636523572,0.688490116327122,"partial"
"41","Netherlands: transit",0.95,0.9,"mean",-2.51436512539102,-1.49947719732648,-0.193688368359386,0.643161404142913,0.731936165988154,"partial"
"42","Netherlands: averageMobility",0.95,0.9,"mean",-2.46646544683444,-1.72417642513171,-0.233881936853538,0.629078595761652,0.735489362610917,"partial"
