"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0163958535350335,-0.0163903452692582,0.00696686457815134,0.0910916471567173,0.124282716777243,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163933691593966,-0.0163793955114554,0.0385281746828306,0.264101901253941,0.343960766366819,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163959406968812,-0.0163902456206025,0.00330271079997164,0.0698562085695733,0.10669057792751,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",0.637012635258094,0.680560579863138,0.780958350908937,0.822822899191571,0.826852490451034,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0163952757577446,-0.0163869889834045,0.0356849313099569,0.240707885302066,0.327696050770674,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484604792988,-0.00816484543255298,0.00513455851259055,0.0654779422960109,0.0988884702725123,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484599239183,-0.00816483992817077,0.036670808263645,0.256202060966024,0.345973384037513,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484602730983,-0.00816484489380357,0.00144469112123296,0.0442125420488633,0.0673340081338671,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",0.635437950754114,0.682137887210536,0.780458652125162,0.822602733717501,0.82703086169581,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484603766806,-0.00816484546045395,0.0338160962281134,0.238656929667959,0.325512446694016,"Later Intervention"
