"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-0.59188444569286,-0.456638166437025,0.113471437272706,0.526401473508881,0.587552985368291,"pooled"
"2","global: transit",0.95,0.9,"mean",0.825371031909758,0.841290671743779,0.902458058609006,0.94365745655691,0.94986275333058,"pooled"
"3","global: averageMobility",0.95,0.9,"mean",-0.416595570716814,-0.277321517123014,0.189466445539442,0.518606049909024,0.56948749208386,"pooled"
"4","Auvergne-Rhône-Alpes: residential",0.95,0.9,"mean",-1.44971283179124,-1.04362158884339,-0.0905625514251,0.527025105111697,0.598772118772113,"partial"
"5","Auvergne-Rhône-Alpes: transit",0.95,0.9,"mean",-0.908912379000808,-0.707428579492064,-0.0572203400784002,0.430875710614007,0.490287302044556,"partial"
"6","Auvergne-Rhône-Alpes: averageMobility",0.95,0.9,"mean",-1.05963581325089,-0.816052482217482,-0.0613412657627842,0.470741781443659,0.549299936112093,"partial"
"7","Bourgogne-Franche-Comté: residential",0.95,0.9,"mean",-1.30285498660727,-1.00532412089322,-0.171083622607789,0.439485407133826,0.508963195745368,"partial"
"8","Bourgogne-Franche-Comté: transit",0.95,0.9,"mean",-1.61459262576741,-1.2614492385917,-0.265343956540891,0.368485156013636,0.456400923266656,"partial"
"9","Bourgogne-Franche-Comté: averageMobility",0.95,0.9,"mean",-1.53648343147459,-1.21777245169672,-0.264332101728655,0.378776190364219,0.484715359575511,"partial"
"10","Bretagne: residential",0.95,0.9,"mean",-1.46714057110838,-1.10358115186346,-0.171941481179608,0.42256954590869,0.493691980419727,"partial"
"11","Bretagne: transit",0.95,0.9,"mean",-1.38798744984166,-1.10565705855872,-0.167633271408743,0.443805527095732,0.53266233518707,"partial"
"12","Bretagne: averageMobility",0.95,0.9,"mean",-1.45499706085709,-1.10466884379093,-0.178082816915455,0.43685827401845,0.515461077487976,"partial"
"13","Centre-Val de Loire: residential",0.95,0.9,"mean",-1.52130815302449,-1.16830433703226,-0.223203279158451,0.403967836301354,0.465287339964848,"partial"
"14","Centre-Val de Loire: transit",0.95,0.9,"mean",-1.51339273712988,-1.18131452415196,-0.226493358840083,0.40615199472679,0.482634720704025,"partial"
"15","Centre-Val de Loire: averageMobility",0.95,0.9,"mean",-1.41635185332633,-1.16549139851483,-0.230936775930716,0.379057400335998,0.448246328089805,"partial"
"16","Corse: residential",0.95,0.9,"mean",-1.00954412655941,-0.794718309079347,-0.00501693681172094,0.540131469566329,0.61988306612629,"partial"
"17","Corse: transit",0.95,0.9,"mean",-1.10888989179575,-0.817319500899513,-0.000770052345080427,0.550637807057768,0.615010657128039,"partial"
"18","Corse: averageMobility",0.95,0.9,"mean",-1.24337731679937,-0.943890984954114,-0.0301822320066188,0.544342436368667,0.607924912299136,"partial"
"19","Grand Est: residential",0.95,0.9,"mean",-1.2368485807034,-0.934202850382832,-0.00897276684965522,0.568735448975279,0.644876253705589,"partial"
"20","Grand Est: transit",0.95,0.9,"mean",-0.382356798024499,-0.263147465296057,0.223210385170049,0.589168276731716,0.63617122194971,"partial"
"21","Grand Est: averageMobility",0.95,0.9,"mean",-0.842571390316764,-0.615702653776698,0.0734392389560254,0.546754142506228,0.601449082745409,"partial"
"22","Hauts-de-France: residential",0.95,0.9,"mean",-1.62248265204607,-1.19186834223543,-0.135619372575922,0.515087982170222,0.593648619948411,"partial"
"23","Hauts-de-France: transit",0.95,0.9,"mean",-1.06226155865533,-0.832714492913388,-0.130139213856937,0.374265296301832,0.439765420792634,"partial"
"24","Hauts-de-France: averageMobility",0.95,0.9,"mean",-1.05157920641776,-0.789701333053514,-0.0729615935016486,0.46240668757541,0.534193425249284,"partial"
"25","Normandie: residential",0.95,0.9,"mean",-1.25004786574899,-0.907324401101468,-0.107260828753538,0.440621274906086,0.508987916431066,"partial"
"26","Normandie: transit",0.95,0.9,"mean",-1.20624516378682,-0.945506527454844,-0.0947624074455228,0.463278799379149,0.514413635500894,"partial"
"27","Normandie: averageMobility",0.95,0.9,"mean",-1.21147037155116,-0.896401803637199,-0.0777095179637811,0.470484522227828,0.54639114075827,"partial"
"28","Nouvelle-Aquitaine: residential",0.95,0.9,"mean",-1.51396130310372,-1.09601874344256,-0.193525077427648,0.397960851271323,0.486714343114735,"partial"
"29","Nouvelle-Aquitaine: transit",0.95,0.9,"mean",-1.44055141527197,-1.09926816400536,-0.212477884630851,0.379015750812664,0.441109774689679,"partial"
"30","Nouvelle-Aquitaine: averageMobility",0.95,0.9,"mean",-1.56398237111244,-1.22065554197818,-0.246253283544034,0.37453905120396,0.470484306061563,"partial"
"31","Occitanie: residential",0.95,0.9,"mean",-2.05702928444819,-1.62411333724531,-0.443344339980899,0.306958457532306,0.370565160896403,"partial"
"32","Occitanie: transit",0.95,0.9,"mean",-2.05199680978544,-1.67269377247544,-0.497080188991381,0.240700671542886,0.329803691396019,"partial"
"33","Occitanie: averageMobility",0.95,0.9,"mean",-2.02894276244658,-1.67156412298573,-0.483105019070031,0.27875184080095,0.358816865266585,"partial"
