"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.016395494063104,-0.0163904407464202,-0.00262782771975996,0.0428268353543927,0.0648030590206223,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.016395811715121,-0.0163898542195609,0.00894785608480153,0.0987319695587788,0.13797559443217,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163880646126776,-0.016342666084886,0.0838760587615116,0.30911899388374,0.341463635026001,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",0.646328786355229,0.66494206241486,0.727855298148974,0.783231943240622,0.792297502412896,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0151737987146498,-0.00591531251070303,0.281105414266372,0.465249768055357,0.488111555235892,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484603120811,-0.00816484519074846,-0.000873384280524894,0.0309855404238932,0.0491095515880881,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.0081648460413538,-0.00816484509073422,0.0106619666678615,0.0979994342965464,0.136412402010094,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484580652256,-0.00816480322024805,0.0854650640437252,0.308877280090181,0.344335892345254,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",0.648768187136693,0.665596009701757,0.728363495801229,0.782270857203665,0.79096505963332,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00813267559719251,-0.00486468597374352,0.28215784168903,0.467560892073686,0.489908635689778,"Later Intervention"
