"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0163933364216742,-0.0163782189612185,0.0612698777503218,0.314277617905304,0.415023650419296,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163780026300342,-0.0162639836037167,0.192178958253904,0.653977729356981,0.683312907227436,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.016393322518653,-0.0163744610736926,0.0441889864467087,0.236814016767299,0.31429672143667,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",-0.0163457100114278,-0.0159534168060372,0.354292417843906,0.725807165022681,0.747178110583361,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0163825823457581,-0.0162975685815594,0.196407808937112,0.65809735409725,0.688902973181837,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484592967982,-0.00816484053365833,0.0394155887893542,0.260816206511942,0.371942806477909,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484288944461,-0.00816474817653139,0.172820110092785,0.648740193623197,0.679340757839143,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484603451263,-0.00816484449067123,0.0222320805197191,0.153775488053151,0.221318154974852,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",-0.0081648381277014,-0.00816422948123366,0.337702463775016,0.725155280270906,0.747412666338663,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484540689654,-0.00816479129523954,0.176918971960477,0.654527229954206,0.686106620739167,"Later Intervention"
