"","Denmark","Italy","Germany","Spain","United_Kingdom","France","Norway","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1",2.37796984138591,4.86675372441422,5.23516929046383,4.92212086813705,4.23626134944026,5.12909329361014,4.89605817648159,5.64104257711776,4.47770515323608,3.79343759520125,4.12031402277711,3.17986839657181,3.38410095030225,3.79087583755214
"2",2.96851302354895,5.07927038409061,4.09082179060994,4.50613562628734,4.04000898503074,4.21505442925988,4.57350372829432,4.66043627647302,3.65990282581006,4.26730476398903,3.93889251737718,2.44385443110522,5.15986634893512,4.62370197053475
"3",4.56719487880325,4.48093440699681,5.18486308456326,4.40867262936528,4.25610983739069,4.83152348755586,3.83488378634674,4.41666783822529,4.37681710662986,2.53663732360023,3.54439331933072,3.42638926362809,4.8639813881931,3.95299796761039
"4",3.8988491198008,4.23034747006504,5.37904420679426,4.98400778201806,5.3050697444018,4.19815650503022,4.30640406681009,4.69544395538165,3.39864824883813,4.2119574041907,4.09257941942244,2.50812689615624,4.15720184978034,4.25479999100534
"5",3.52719383470062,4.4770659108744,4.00218208093098,4.32661397746166,5.02901265187499,4.51171477345697,3.42457701201671,4.91107643367212,3.92739281842065,3.56710070713978,3.76205946092589,3.08891945607698,4.08585580970683,4.29852704798758
"6",2.96725768074495,4.36881732393056,4.67332669583552,4.66573115301146,4.03411653173231,5.05914631399211,3.7254074805247,4.91895457166592,3.33282328876051,4.24154501187398,3.44273967360247,2.18049421555704,4.42998084834899,4.37424732837054
"7",4.26149361086259,4.66563865842307,4.88672111908798,4.65472813998116,3.77830181264733,4.39125781580447,3.84705479981635,4.06034808201103,4.14937598459807,2.83811881421417,3.3360076800494,3.3233614981296,4.38458391892542,4.7381986335355
"8",2.60688234286689,4.52389892896696,5.55507533109342,4.99678041811107,4.48292137796375,4.4252549405152,3.75449824230477,4.44003102840631,3.6909970950613,3.12876770904875,4.33819352041383,2.51498198793312,5.00854279907303,3.66841732943065
"9",2.6938513997438,4.29152215699057,4.55780361740878,4.57461632071155,3.8543593021283,4.33073452779686,4.5018547919003,4.08291622141309,3.85273161726554,3.394654678924,3.43133100829796,3.01193868699049,4.85172195969686,4.31495336094115
"10",2.65474679920501,3.91619172434755,6.14381300856784,4.84597005916876,4.44720845819792,5.04765767664924,4.32123406440951,4.7072393393682,2.81058625014422,3.67747456181407,3.48781650425491,3.26550926663629,3.30883122031162,4.86534392959539
"11",3.09920156468398,4.23028113018792,3.9424298428761,4.44796211835758,4.04919256518417,4.09577112885227,3.68382292164293,4.42199396514729,3.10062467853828,3.33793343896894,3.10635858853055,2.81839691981412,2.99300273763627,3.98149447824656
"12",4.76279389816701,3.84226781361148,4.30780769589851,4.74519170486806,3.70010694668007,4.38080285342114,4.43366632623813,4.09664841066501,2.60618306844203,4.31861525303912,4.93475922706249,3.18839399521508,4.59447936328469,3.75032947017023
"13",2.80807231683326,4.0270242710043,4.40826106819133,5.24559385122131,4.64196608686374,4.17253111604913,3.02259429099594,4.71911410769621,3.3077573556848,3.66383739430934,4.39699142783741,2.47839300012502,4.43165874274674,4.20535084805642
"14",3.78943826384237,4.51264558558784,5.4398107287753,4.36078553457525,4.58785204795632,4.57118062739208,3.75774346923269,3.60651822335278,4.67124479349143,4.20579910048306,4.58292055999547,3.57453894418955,4.3671211223428,4.58134822152006
"15",3.27585733931943,4.25457653125936,4.95673767873516,4.86021562155609,3.88502955687622,4.06029529244654,3.27633601351496,4.38564579511007,3.52230599499986,2.88828148117468,4.14757341895263,3.38037596408169,3.55297202964488,3.81062638731167
"16",3.3153369399646,4.20293117492635,5.52671983358079,5.6651607221169,5.0463381788622,4.38073380585446,3.70128792403258,5.08444891066031,3.80340980572033,4.67391995735747,4.0749457782631,2.76871685039839,3.74722613381576,4.23645302062526
"17",3.39498113418939,4.34449396714355,4.83245164045409,4.62711260476006,4.60846783524761,4.36441926189333,4.08507114214326,5.1849631555032,3.88111153102246,3.94862390738695,3.95513216744429,3.28924820893333,3.38631529118948,5.57626804911027
"18",3.98737860998203,4.57095933793744,5.27405801867117,4.79253227199826,4.61051221448344,4.55665482928598,2.7965163896083,4.65243174037223,5.14209397358126,3.83134175947514,3.60336486940287,2.04445580413214,5.92627296710005,5.04509132426653
"19",3.53085797354077,3.88355179347801,4.40841798369941,4.52810175921341,4.28654141634856,4.28118312677408,3.91445072950004,3.68208849631453,3.69906123760899,3.08671312967824,2.96809181855599,2.40704095105375,3.88478244374741,3.74925793860532
"20",3.54787048593861,4.30603599722844,4.82750687396637,4.56913873665855,4.44452448228152,4.74114820749787,4.18078851138475,5.42807989907574,4.30731403112267,3.78632863469223,3.5878702909331,3.86347508716486,3.57684688997883,4.44354046422898
"21",3.9491071916341,4.28282623156902,4.49428797134162,4.3193836119785,4.62591944466139,4.21959044411992,3.60927182276148,4.43243829246416,2.77560144100333,3.58032374698287,3.08772712686106,2.0695934541012,5.16558216624543,3.77955178516552
