"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0163935754965968,-0.0163752008959403,0.0765299357075081,0.380377796688471,0.466704755759116,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163806722702952,-0.0162498474370784,0.197429515601754,0.634105933356032,0.6609897401257,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163908297487496,-0.0163666711375374,0.055527934152625,0.289193350434254,0.358714512617329,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",-0.0163320236424302,-0.0159613093999999,0.312805138376952,0.697825231427249,0.7220332611636,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0163808344153482,-0.0163061821534762,0.196058538515972,0.633493682840792,0.66819774968304,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484594607942,-0.00816483992911502,0.0494543659633862,0.317209459871828,0.41993752757636,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484535832543,-0.00816479521840364,0.1729579894586,0.625038196847815,0.656204501257141,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484603664064,-0.00816484466525363,0.0278231134716902,0.186224940109326,0.272638104527108,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",-0.00816483882181375,-0.00816419048832636,0.290121228014378,0.69700770840888,0.719683452423255,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484569992532,-0.00816478116679624,0.171137731087648,0.628373482417655,0.665404160827398,"Later Intervention"
