"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0163934006342286,-0.016372076281736,0.0396813369140638,0.218593210777625,0.293528856696518,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163913121753776,-0.0163575172695401,0.169507048950489,0.677858821097782,0.704550530190435,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163934331031528,-0.0163791592026126,0.0291268188328264,0.175115968666501,0.24257158601136,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",-0.0163076075990783,-0.0157861240005473,0.430388064203538,0.746560623384353,0.762271218097559,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0163842918040869,-0.0163205780702987,0.173295003002909,0.67194574092463,0.698517242226738,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484602131825,-0.00816484437935767,0.0273117447501621,0.176922238129172,0.268209283495916,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484571277923,-0.00816481232233384,0.158361350620738,0.67493174758423,0.702847967208095,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.0081648460378825,-0.00816484444752459,0.0164947708960972,0.12840494808415,0.197035662182681,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",-0.008164839086247,-0.00816413511420752,0.422358252938046,0.74671276334071,0.761542415000528,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484558526546,-0.00816482340454753,0.162351052099151,0.666762182323313,0.696397056048835,"Later Intervention"
