"","region","country","IFR"
"1","Auvergne-Rhône-Alpes","France",0.012556187488595
"2","Bourgogne-Franche-Comté","France",0.012556187488595
"3","Bretagne","France",0.012556187488595
"4","Corse","France",0.012556187488595
"5","Grand Est","France",0.012556187488595
"6","Hauts-de-France","France",0.012556187488595
"7","Normandie","France",0.012556187488595
"8","Nouvelle-Aquitaine","France",0.012556187488595
"9","Occitanie","France",0.012556187488595
"10","Pays de la Loire","France",0.012556187488595
"11","Provence-Alpes-Côte d'Azur","France",0.012556187488595
"12","Île-de-France","France",0.012556187488595
"13","France-hopitaux","France",0.012556187488595
"14","France-OC19","France",0.012556187488595
