"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0163959374694873,-0.0163904991256165,0.0039055908755209,0.0699443062154198,0.101362495931937,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163953839838255,-0.016387836344994,0.0279572178853589,0.190428488035387,0.356442374081529,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163953822658395,-0.0163913670978727,0.00186440603148556,0.0614916841147683,0.0869250085648414,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",0.653071549357751,0.686111215985563,0.775619478768881,0.829521329609651,0.83625505379036,"First Intervention"
"5","Social distancing 
 encouraged",0.95,0.9,"mean",-0.0163945855605233,-0.0163866138513429,0.0181402314458095,0.142293846005636,0.191148894301347,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484602455773,-0.00816484486937342,0.00323951434689796,0.0522569755755994,0.08391328909438,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484600910238,-0.00816484338401846,0.0271934068043065,0.191965480145915,0.361653632239313,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484603570634,-0.00816484465751753,0.00121023417480675,0.0424557480005111,0.0619887859699255,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",0.6503589108593,0.684880570598118,0.775376206425183,0.829436079740351,0.836539667718314,"Later Intervention"
"10","Social distancing 
 encouraged",0.95,0.9,"mean",-0.00816484602161072,-0.00816484441208966,0.0175176584670397,0.136211602116584,0.187931668002793,"Later Intervention"
